"author","papers"
"Mazzariol, Leonardo M.","A Finite-Element-Based Framework for Simulating Human-Exoskeleton Interface Mechanics; IMU based displacement and impact estimation for the analysis of human-exoskeleton interactions"
"Medeiros, Adelardo A. D.","Relative Localization of a Robotic Smart Walker Based on Signal Fusion Using an Extended Information Filter"
"Medeiros, Vivian S.","Gain-Scheduled Control for Trajectory Tracking of a Two-Wheeled Balancing Mobile Robot; Proprioceptive ContactNet: Towards Bridging the Sim-to-Real Gap in Quadrupedal Contact Estimation"
"Mello, Lucas B.","UAV Visual Servoing for Electrical Distribution System Inspection"
"Melo, F.","Systematic Review on Sensor Fusion Techniques for Mobile Robots Using LiDAR and Complementary Sensors; Transformer Models for Underwater 3D Reconstruction: Advances, Challenges and Trends"
"Melo, Rafael F. V.","IMU based displacement and impact estimation for the analysis of human-exoskeleton interactions"
"Melo, Rafael R. F.","Mapping and Localization in Confined Underwater Environments: A Review and Research Agenda; Underwater Localization in Low-Texture Environments: Review, State of the Art and Perspectives"
"Menezes, Lázaro A. A.","A Low-Cost Remotely Operated Underwater Vehicle for Educational Applications"
"Mineração, Controle A. P.","Robotic Safe and Efficient Measurement of Jaw Crusher Open Side Setting"
"Mirante, José L. C.","LiDAR-Based Box Dimensioning in a Multi-Robot Logistics Scenario"
"Molina, Lucas","Dispersive Polarized RRT (DP-RRT): A Novel Biased Sampling Strategy for Enhanced RRT Performance"
"Moreira, António P.","Real-Time Immersive Robotic Teleoperation Framework Using Virtual Reality and ROS"
"Moreira, Enio","Deep Learning-Based Estimation of Slip and Skidding for Wheeled Robots"
"Moreira, Luciano G.","LiDAR-Based Box Dimensioning in a Multi-Robot Logistics Scenario"
"Moura, Davidson R.","Exploiting domain knowledge for content-agnostic template matching in structured environments"
"Moura, Rafael T.","A Finite-Element-Based Framework for Simulating Human-Exoskeleton Interface Mechanics"
"Muniz, Gabriel V. M.","A WebRTC-Based Architecture for Remote Monitoring of Mobile Robots"
"Muniz, S. S.","Mapping and Localization in Confined Underwater Environments: A Review and Research Agenda; Systematic Review on Sensor Fusion Techniques for Mobile Robots Using LiDAR and Complementary Sensors; Transformer Models for Underwater 3D Reconstruction: Advances, Challenges and Trends; Underwater Localization in Low-Texture Environments: Review, State of the Art and Perspectives"
"Nascimento, Felipe H.","Closed-loop grasp verification via structured multi-sensor reasoning under occlusion"
"Nascimento, Tiago","A New Approach for Action Recognition used in Proximal Control of UAVs; Lightweight Semantic Segmentation for Feature-based Visual Odometry in Dynamic Environments"
"Nascimento, Tiago P.","On the Challenges of Amphibious Uncrewed Surface Vehicle Simulation"
"Negri, Juliano D.","Learning Perception-based Quadrupedal Locomotion on Highly Inclined Industrial Staircases; Proprioceptive ContactNet: Towards Bridging the Sim-to-Real Gap in Quadrupedal Contact Estimation"
"Neto, Accacio F. S.","ASV Aerocat: Cooperative Aerial–Surface System for Inspection Tasks"
"Neto, Armando A.","Constrained Task-Space Control of a UR5 Manipulator Using CBF–QP"
"Neto, Santos","Real-Time Immersive Robotic Teleoperation Framework Using Virtual Reality and ROS"
"Netto, Nelson C.","A Review of Proportional Navigation Guidance Laws: Formulations, Variants, and Implementation Considerations; Performance Analysis of the IMM-EKF Estimator for Trajectory Prediction of the Hermes 900 UAV"
"Neves, Vinicius G.","An Attentive Multi-Scale Approach for Semantic Segmentation; Transformer-based Decision-Making using Segmented Bird’s Eye View Images and Deep Reinforcement Learning"
"Nunes, André F. D.","Challenges on Operational Procedures and Practical Experiences on Data Collection with Autonomous Sailboats"
"Oleskovicz, Mário","UAV Visual Servoing for Electrical Distribution System Inspection; UPI-Dataset: A Balanced UAV-Based Image Dataset for Defect and Anomaly Detection in Power Distribution Systems"
"Oliveira, A.","A Lightweight Open-Source Python-Based Simulator as an Educational Tool for Buoyancy Controlled Underwater Robotics"
"Oliveira, Alberto T.","Relative Localization of a Robotic Smart Walker Based on Signal Fusion Using an Extended Information Filter"
"Oliveira, André S.","Miniaturized Mobile Robot for Educational Applications in Logistics"
"Oliveira, Danilo S.","A Lightweight Open-Source Python-Based Simulator as an Educational Tool for Buoyancy Controlled Underwater Robotics"
"Oliveira, Emerson V.","Generative-Augmented Maritime Navigation Dataset: A Deep Synthetic Data Generation Framework; Multi-Variable Expanded Latent Space Autoencoder for Underwater Image Classification"
"Oliveira, Ewerton","A New Approach for Action Recognition used in Proximal Control of UAVs"
"Oliveira, Felipe G.","Distance-Optimized Waypoint Sequencing for UAV Environmental Monitoring; Semantic Amodal Segmentation Methods in Autonomous Vehicles Environments: A Review"
"Oliveira, Gustavo C.","Gain-Scheduled Control for Trajectory Tracking of a Two-Wheeled Balancing Mobile Robot"
"Oliveira, Iure R. L.","Learning2Learning: An Educational Open Source App for Data Visualization in Robotics Navigation"
"Oliveira, José P. G.","Adaptive Proxemic Path Planning for Mobile Robots in Dynamic Human Environments with Predicted Motion"
"Oliveira, Kassia R.","Distance-Optimized Waypoint Sequencing for UAV Environmental Monitoring"
"Oliveira, Levir D. C.","An Integrated System for Fast Mapping and Autonomous Navigation of Mobile Robots using ROS"
"Oliveira, Marina B.","Closed-loop grasp verification via structured multi-sensor reasoning under occlusion"
"Oliveira, Vinícius M.","Mimoso: A Humanoid Platform for Research in Locomotion and Deep Reinforcement Learning"
"Oliveira, Vitor E. F.","ASV Aerocat: Cooperative Aerial–Surface System for Inspection Tasks"
"Paes, Leonardo R. D.","Multi-agent Perimeter Defense of Spatially Distributed Regions"
"Paiva, Procopio","Development of a Robotic System for the Introduction of Space Robotics Concepts in Basic Education"
"Paradeda, Raul B.","Bridging TurboWarp and NAO: API Architecture for Block-Based Humanoid Robot Programming; Unplugged Computing as an Introductory Strategy for Teaching Block-Based Programming Using the NAO Humanoid Robot; Validation of Robotic Arm Gestures for Social Robots Based on Human Perception"
"Parik-Americano, Pedro","From Simulation to Hardware: Development of a Modular Underactuated Biped Robot"
"Pazelli, Tatiana F. P. A. T.","Improving Indoor Mobile Robot Localization Using Integrated EKF-SLAM, AMCL and ArUco Fiducial Markers; Path Planning in Dynamic Environments: A Comparison of Algorithms in the RoboCup SSL"
"Pedro, João","A Low-Cost Remotely Operated Underwater Vehicle for Educational Applications; Eliciting Intuitive Gestures in Drones via Controlled Frustration: A Multidisciplinary Study"
"Pequeno, Maia R. F. S.","Unplugged Computing and Educational Robotics in Early Childhood Education: Outreach Experiences with Playful and Sustainable Practices"
"Pereira, Henrique C.","OTA Updates for Intelligent Vehicles: Challenges for a Safe and Secure Strategy"
"Pereira, Miguel","Real-Time Immersive Robotic Teleoperation Framework Using Virtual Reality and ROS"
"Perico, Danilo H.","Development of an Expressive Self-Balancing Companion Robot"
"Persiani, Carlos A. F.","UAV Visual Servoing for Electrical Distribution System Inspection; UPI-Dataset: A Balanced UAV-Based Image Dataset for Defect and Anomaly Detection in Power Distribution Systems"
"Pimenta, Luciano","Graph Connectivity Maintenance for Multi-Robots Systems under Visual Occlusion Constraints via CBFs"
"Pimenta, Luciano C. A.","A Vector Field–Based Path-Following Approach for Ackermann-Steered Vehicles; An Agentic Framework for Aerial Swarms: Integrating LLMs with the Crazyswarm2; Influence of Mutation Operators in a Differential Evolution-based Path Planning for Non-Holonomic Robots"
"Pinheiro, Pedro M.","Modeling and Control of Wind Disturbances in a Hybrid Unmanned Aerial-Underwater Vehicle; Propulsion of Hybrid Aerial-Underwater Vehicles: Experimental Setup and Dataset"
"Pinto, Milena F.","Vision-Based UAV Tracking for UAV–UGV Cooperation Using YOLOv11 and Kalman Filtering"
"Pio, José L. S.","Distance-Optimized Waypoint Sequencing for UAV Environmental Monitoring"
"Polanía, Edna C. M.","A Django-Based Web Framework for Teleoperation of Differential Robots Integrated with ROS2; Static Stability and Low-Level Actuation Control of a Wheel-Legged Agricultural Robot"
"Prado, Jardel J. P.","Propulsion of Hybrid Aerial-Underwater Vehicles: Experimental Setup and Dataset"
"Preto, Ouro","Robotic Safe and Efficient Measurement of Jaw Crusher Open Side Setting"
"Rabelo, Gabriel T.","Pose estimation with ArUco markers and Kalman filter with on-line covariance adjustments for cooperative robotics"
"Ramos, José D. G.","Semantic Amodal Segmentation Methods in Autonomous Vehicles Environments: A Review"
"Redonda, Volta","Development of a Modular Framework for Multimodal Interaction with the NAO Humanoid Robot Using Computer Vision and Natural Language Processing; Integration of Local Generative Language Models in Humanoid Robots: An Approach with the NAO Robot and DeepSeek-LLM"
"Reyes, Isaac","Wi-Fi HaLow–Enabled Offboard Person Detection for UAV Search and Rescue"
"Reyna, Ana H.","An Attentive Multi-Scale Approach for Semantic Segmentation; Transformer-based Decision-Making using Segmented Bird’s Eye View Images and Deep Reinforcement Learning"
"Rezeck, Paulo","Wi-Fi HaLow–Enabled Offboard Person Detection for UAV Search and Rescue"
"Ribeiro, Caio C. G.","Communication Backbone Deployment with Connectivity Maintenance"
"Ribeiro, Christyan H.","A Vector Field–Based Path-Following Approach for Ackermann-Steered Vehicles"
"Ribeiro, Eduardo G.","UAV Visual Servoing for Electrical Distribution System Inspection"
"Rincon, Leonardo M.","A 5R Robotic Master Arm Proposal for Remote Control of the KUKA KR3 R540 Industrial Robot; Design of a Robotic Gripper with Magnetically Coupled Modular Fingers; Software Development for Function Generation Synthesis of Six-Bar Mechanisms via Optimization"
"RJ, Cefet /.","Challenges on Operational Procedures and Practical Experiences on Data Collection with Autonomous Sailboats"
"Rocha, Thiago L.","Reward Shaping for Learning the Pre-Skimming Reach Phase with a Robotic Manipulator"
"Rodiani, Rafael","Systematic Review on Sensor Fusion Techniques for Mobile Robots Using LiDAR and Complementary Sensors; Transformer Models for Underwater 3D Reconstruction: Advances, Challenges and Trends"
"Rodrigues, Rômulo T.","Exploiting domain knowledge for content-agnostic template matching in structured environments"
"Romero, Flávio","Mapping and Localization in Confined Underwater Environments: A Review and Research Agenda; Systematic Review on Sensor Fusion Techniques for Mobile Robots Using LiDAR and Complementary Sensors; Transformer Models for Underwater 3D Reconstruction: Advances, Challenges and Trends; Underwater Localization in Low-Texture Environments: Review, State of the Art and Perspectives"
"Rosa, Paulo F. F.","A Conceptual and Computational Model of Drone Swarms Using Flocking Dynamics; Temporal Jitter Evaluation for Real-Time Vision Applications"
"Santana, Feira","Teleoperation of Mobile Robots on a Portable Platform with 2D Augmented Reality Games Integrated into ROS 2"
"Santana, Lucas G. J.","Portable LiDAR-Based System for Plant Height Measurement with Cloud Integration"
"Santos, Artur V. A.","A Django-Based Web Framework for Teleoperation of Differential Robots Integrated with ROS2; Static Stability and Low-Level Actuation Control of a Wheel-Legged Agricultural Robot"
"Santos, Cleiton N.","Dynamic Coalition Formation for Probabilistic Perimeter Defense with Homogeneous Defenders; Multi-agent Perimeter Defense of Spatially Distributed Regions"
"Santos, Danilo F.","Closed-loop grasp verification via structured multi-sensor reasoning under occlusion"
"Santos, Davi H.","On the Challenges of Amphibious Uncrewed Surface Vehicle Simulation"
"Santos, I. L.","Development of a prototype of a medicine blister cutter"
"Santos, Leandro G.","Seed Dispenser for Reforestation with Drones"
"Santos, Leonardo H. M. C.","Communication Backbone Deployment with Connectivity Maintenance"
"Santos, Lidia G. D. M.","Generative-Augmented Maritime Navigation Dataset: A Deep Synthetic Data Generation Framework; Multi-Variable Expanded Latent Space Autoencoder for Underwater Image Classification"
"Santos, Lopes","Development of a Robotic System for the Introduction of Space Robotics Concepts in Basic Education"
"Santos, Luiziane P.","Bridging TurboWarp and NAO: API Architecture for Block-Based Humanoid Robot Programming; Unplugged Computing as an Introductory Strategy for Teaching Block-Based Programming Using the NAO Humanoid Robot"
"Santos, Lívia A.","Seed Dispenser for Reforestation with Drones"
"Santos, Mabele J.","Unplugged Computing and Educational Robotics in Early Childhood Education: Outreach Experiences with Playful and Sustainable Practices"
"Santos, Phillipe C.","A Low-Cost Remotely Operated Underwater Vehicle for Educational Applications; Eliciting Intuitive Gestures in Drones via Controlled Frustration: A Multidisciplinary Study"
"Santos, S. S.","A Low-Cost Remotely Operated Underwater Vehicle for Educational Applications"
"Santos, Santana","Eliciting Intuitive Gestures in Drones via Controlled Frustration: A Multidisciplinary Study"
"Santos, Santana S.","Eliciting Intuitive Gestures in Drones via Controlled Frustration: A Multidisciplinary Study"
"Santos, Silveira","Seed Dispenser for Reforestation with Drones"
"Santos, Vinicius C. F.","A Lightweight Open-Source Python-Based Simulator as an Educational Tool for Buoyancy Controlled Underwater Robotics"
"Saraswati, Nityananda V.","Development of an Expressive Self-Balancing Companion Robot"
"Schein, Tatiana T.","Semantic Amodal Segmentation Methods in Autonomous Vehicles Environments: A Review"
"Schettino, Vinícius B.","ASV Aerocat: Cooperative Aerial–Surface System for Inspection Tasks"
"Shimizu, Letícia I.","Learning Perception-based Quadrupedal Locomotion on Highly Inclined Industrial Staircases; Proprioceptive ContactNet: Towards Bridging the Sim-to-Real Gap in Quadrupedal Contact Estimation"
"Sicchieri, Ícaro M.","Development of an Integrated Software System for an Othello-Playing Collaborative Robot"
"Siciliano, André A.","A Finite-Element-Based Framework for Simulating Human-Exoskeleton Interface Mechanics"
"Silva, Bruno M. F.","Relative Localization of a Robotic Smart Walker Based on Signal Fusion Using an Extended Information Filter"
"Silva, Cesar A. M.","A Tiny Recursive Multi-Head Model for Semantic Traffic Sign Recognition in Autonomous Robotics"
"Silva, Eduardo L.","Semantic Amodal Segmentation Methods in Autonomous Vehicles Environments: A Review"
"Silva, Elizangela","Unplugged Computing and Educational Robotics in Early Childhood Education: Outreach Experiences with Playful and Sustainable Practices"
"Silva, Felipe O.","Development of a digital twin for monitoring the autonomy of intelligent and connected electric vehicles; Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Silva, Jean M.","Unplugged Computing as an Introductory Strategy for Teaching Block-Based Programming Using the NAO Humanoid Robot"
"Silva, João M. R.","ASV Aerocat: Cooperative Aerial–Surface System for Inspection Tasks"
"Silva, Leandro H. S.","Adaptive Proxemic Path Planning for Mobile Robots in Dynamic Human Environments with Predicted Motion"
"Silva, Lucas M.","Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Silva, Lucas Á.","IMAGE-BASED GIMBAL CONTROL FOR OBJECT TRACKING"
"Silva, M. R.","Development of a prototype of a medicine blister cutter; Synthetic Data Set for Surgical Instrument Detection"
"Silva, Michel M.","A WebRTC-Based Architecture for Remote Monitoring of Mobile Robots"
"Silva, Pedro L.","Influence of Mutation Operators in a Differential Evolution-based Path Planning for Non-Holonomic Robots"
"Silva, Raphael P. F.","Task-Space Trajectory Planning for Redundant Robotic Systems in Wire Arc Additive Manufacturing"
"Silva, Rodrigo","Deep Reinforcement Learning for Quadruped Locomotion in Genesis: A Comparative Study of PPO, SAC, and TD3 in Irregular Terrains"
"Silva, Rodrigues","Seed Dispenser for Reforestation with Drones"
"Silva, Souza","Portable LiDAR-Based System for Plant Height Measurement with Cloud Integration"
"Silva, Thássio G.","Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Silva, Vandermi J.","Distance-Optimized Waypoint Sequencing for UAV Environmental Monitoring"
"Silva, Yuri N.","Vision-Based UAV Tracking for UAV–UGV Cooperation Using YOLOv11 and Kalman Filtering"
"Simões, Henrique B.","From Simulation to Hardware: Development of a Modular Underactuated Biped Robot"
"Simões, Ivan F. E.","From Simulation to Hardware: Development of a Modular Underactuated Biped Robot"
"Siqueira, L. L.","Development of a prototype of a medicine blister cutter"
"Siqueira, Melkzedekue M. A. C. M. A.","A Human–Exoskeleton Co–Learning Framework for Adaptive and Synergistic Interaction in Rehabilitation Settings"
"Soares, Guilherme H.","Unplugged Computing as an Introductory Strategy for Teaching Block-Based Programming Using the NAO Humanoid Robot"
"Sousa, A.","A Lightweight Open-Source Python-Based Simulator as an Educational Tool for Buoyancy Controlled Underwater Robotics; A Low-Cost Remotely Operated Underwater Vehicle for Educational Applications"
"Sousa, Alves","Eliciting Intuitive Gestures in Drones via Controlled Frustration: A Multidisciplinary Study"
"Sousa, Cayo F.","Constrained Task-Space Control of a UR5 Manipulator Using CBF–QP"
"Sousa, Filho S. K. A.","Dispersive Polarized RRT (DP-RRT): A Novel Biased Sampling Strategy for Enhanced RRT Performance"
"Sousa, Leandro H. V.","A Vector Field–Based Path-Following Approach for Ackermann-Steered Vehicles; Influence of Mutation Operators in a Differential Evolution-based Path Planning for Non-Holonomic Robots"
"Sousa, Raphaell M.","Adaptive Proxemic Path Planning for Mobile Robots in Dynamic Human Environments with Predicted Motion; LIBRAS Alphabet Recognition System Based on Landmarks and Artificial Neural Networks"
"Souto, E. C.","Real-Time YOLO-Based Embedded System for Automated Breast Cancer Detection in Mammography"
"Souza, Anderson A. S.","Validation of Robotic Arm Gestures for Social Robots Based on Human Perception"
"Souza, Dias","Unplugged Computing and Educational Robotics in Early Childhood Education: Outreach Experiences with Playful and Sustainable Practices"
"Souza, Givanaldo R.","Development of a Robotic System for the Introduction of Space Robotics Concepts in Basic Education"
"Souza, Jeovana M.","Seed Dispenser for Reforestation with Drones"
"Souza, Jonnathan V.","Development of an Educational Robotics Kit Without the Use of Screens"
"Souza, Lucas V.","A Tiny Recursive Multi-Head Model for Semantic Traffic Sign Recognition in Autonomous Robotics"
"Souza, Marcelo","Exploiting domain knowledge for content-agnostic template matching in structured environments"
"Souza, Vitor A.","Development of a Modular Framework for Multimodal Interaction with the NAO Humanoid Robot Using Computer Vision and Natural Language Processing; Integration of Local Generative Language Models in Humanoid Robots: An Approach with the NAO Robot and DeepSeek-LLM; Temporal Jitter Evaluation for Real-Time Vision Applications"
"Spinelli, Roberto","Embodied GPT-5.1: Evidence of a World Model?"
"Sugawara, André T.","IMU based displacement and impact estimation for the analysis of human-exoskeleton interactions"
"Sá, Hebert A.","Temporal Jitter Evaluation for Real-Time Vision Applications"
"Sá, Victor","Graph Connectivity Maintenance for Multi-Robots Systems under Visual Occlusion Constraints via CBFs"
"Teixeira, Leonardo R. L.","Unplugged Computing and Educational Robotics in Early Childhood Education: Outreach Experiences with Playful and Sustainable Practices"
"Terra, Marco H.","UAV Visual Servoing for Electrical Distribution System Inspection; UPI-Dataset: A Balanced UAV-Based Image Dataset for Defect and Anomaly Detection in Power Distribution Systems"
"Thema, Masa","Proprioceptive ContactNet: Towards Bridging the Sim-to-Real Gap in Quadrupedal Contact Estimation"
"Tonin, Lucca S.","A 5R Robotic Master Arm Proposal for Remote Control of the KUKA KR3 R540 Industrial Robot"
"Torres, Clayton J.","A Django-Based Web Framework for Teleoperation of Differential Robots Integrated with ROS2"
"Toschi, Lucas","Next-Best-View using Deep Reinforcement Learning with Quadruped Robots in Simulation"
"Tuxi, Thiago M.","Vision-Based UAV Tracking for UAV–UGV Cooperation Using YOLOv11 and Kalman Filtering"
"Utiyama, Daniela M. O.","IMU based displacement and impact estimation for the analysis of human-exoskeleton interactions"
"Valci, Modesto","An Active Learning Methodology for Teaching the Kalman Filter in Robotics Applications"
"Vangasse, Arthur","Graph Connectivity Maintenance for Multi-Robots Systems under Visual Occlusion Constraints via CBFs"
"Vangasse, Arthur C.","An Agentic Framework for Aerial Swarms: Integrating LLMs with the Crazyswarm2"
"Varella, Jerry","Exploiting domain knowledge for content-agnostic template matching in structured environments"
"Vasconcellos, Eduardo C.","Challenges on Operational Procedures and Practical Experiences on Data Collection with Autonomous Sailboats"
"Vazquez, Priscila C.","Development of an Expressive Self-Balancing Companion Robot"
"Victoria, Sarah","Seed Dispenser for Reforestation with Drones"
"Vinente, Kenny","Exploiting domain knowledge for content-agnostic template matching in structured environments"
"Vivaldini, Kelen C. T.","A Comparative Benchmark of Path Planning Algorithms in Dynamic Environments; An Integrated System for Fast Mapping and Autonomous Navigation of Mobile Robots using ROS; Improving Indoor Mobile Robot Localization Using Integrated EKF-SLAM, AMCL and ArUco Fiducial Markers; Path Planning in Dynamic Environments: A Comparison of Algorithms in the RoboCup SSL"
"Walter, Esteban","Challenges on Operational Procedures and Practical Experiences on Data Collection with Autonomous Sailboats"
"Werneck, Brandão R. G. A.","Challenges on Operational Procedures and Practical Experiences on Data Collection with Autonomous Sailboats"
"Wolf, Denis F.","An Attentive Multi-Scale Approach for Semantic Segmentation; Transformer-based Decision-Making using Segmented Bird’s Eye View Images and Deep Reinforcement Learning"
"Yasuda, Pedro","From Simulation to Hardware: Development of a Modular Underactuated Biped Robot"
"Youssef, Samer","A 5R Robotic Master Arm Proposal for Remote Control of the KUKA KR3 R540 Industrial Robot"
"Zênite, I. I. N.","Development of a Robotic System for the Introduction of Space Robotics Concepts in Basic Education"
